institute,institute_short,program,program_core,quota,seat_type,gender,opening_rank,closing_rank,degree,duration_years,degree_type,is_dual
Indian Institute of Technology Mandi,IIT Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",B.Tech in Mathematics and Computing,AI,OPEN,Gender-Neutral,3945,4285,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",B.Tech in Mathematics and Computing,AI,OPEN,Female-only,9721,9846,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",B.Tech in Microelectronics & VLSI,AI,OPEN,Gender-Neutral,4593,6166,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",B.Tech in Microelectronics & VLSI,AI,OPEN,Female-only,11355,12496,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",Bio Engineering,AI,OPEN,Gender-Neutral,12646,14879,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",Bio Engineering,AI,OPEN,Female-only,24904,25194,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",BS in Chemical Sciences,AI,OPEN,Gender-Neutral,13425,17491,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Mandi,IIT Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",BS in Chemical Sciences,AI,OPEN,Female-only,25305,26718,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Mandi,IIT Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,AI,OPEN,Gender-Neutral,10954,14274,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,AI,OPEN,Female-only,21169,23543,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Gender-Neutral,2096,3123,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Female-only,6922,7997,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",Data Science and Artificial Intelligence,AI,OPEN,Gender-Neutral,3221,3928,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",Data Science and Artificial Intelligence,AI,OPEN,Female-only,8476,9741,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Gender-Neutral,5136,7590,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Female-only,11244,14984,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,AI,OPEN,Gender-Neutral,8831,12110,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,AI,OPEN,Female-only,19108,20778,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,AI,OPEN,Gender-Neutral,8023,10267,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Mandi,IIT Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,AI,OPEN,Female-only,17438,20608,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",Abu Dhabi Campus - Chemical Engineering,AI,OPEN,Gender-Neutral,5200,5712,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",Abu Dhabi Campus - Chemical Engineering,AI,OPEN,Female-only,11520,11520,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",Abu Dhabi Campus - Computer Science and Engineering,AI,OPEN,Gender-Neutral,1291,1761,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",Abu Dhabi Campus - Computer Science and Engineering,AI,OPEN,Female-only,6480,6480,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",Abu Dhabi Campus - Energy Engineering,AI,OPEN,Gender-Neutral,4661,5590,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",Abu Dhabi Campus - Energy Engineering,AI,OPEN,Female-only,8973,8973,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,AI,OPEN,Gender-Neutral,3147,4999,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,AI,OPEN,Female-only,6350,8927,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,AI,OPEN,Gender-Neutral,1904,2548,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,AI,OPEN,Female-only,5287,5968,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering,AI,OPEN,Gender-Neutral,2581,3454,"5 Years, Bachelor and Master of Technology (Dual Degree)",5,Dual Degree (B.Tech-M.Tech),yes
Indian Institute of Technology Delhi,IIT Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering,AI,OPEN,Female-only,6826,7561,"5 Years, Bachelor and Master of Technology (Dual Degree)",5,Dual Degree (B.Tech-M.Tech),yes
Indian Institute of Technology Delhi,IIT Delhi,"Chemistry (4 Years, Bachelor of Science)",Chemistry,AI,OPEN,Gender-Neutral,6267,8528,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Delhi,IIT Delhi,"Chemistry (4 Years, Bachelor of Science)",Chemistry,AI,OPEN,Female-only,11389,16980,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Delhi,IIT Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,AI,OPEN,Gender-Neutral,3244,4302,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,AI,OPEN,Female-only,3660,9193,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Gender-Neutral,24,126,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Female-only,376,498,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Computer Science and Engineering,AI,OPEN,Gender-Neutral,134,186,"5 Years, Bachelor and Master of Technology (Dual Degree)",5,Dual Degree (B.Tech-M.Tech),yes
Indian Institute of Technology Delhi,IIT Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Computer Science and Engineering,AI,OPEN,Female-only,560,996,"5 Years, Bachelor and Master of Technology (Dual Degree)",5,Dual Degree (B.Tech-M.Tech),yes
Indian Institute of Technology Delhi,IIT Delhi,"Design (4 Years, Bachelor of Technology)",Design,AI,OPEN,Gender-Neutral,7813,12217,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Design (4 Years, Bachelor of Technology)",Design,AI,OPEN,Female-only,16045,23166,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Gender-Neutral,365,605,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Female-only,1617,2627,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Electrical Engineering (Power and Automation),AI,OPEN,Gender-Neutral,612,823,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Electrical Engineering (Power and Automation),AI,OPEN,Female-only,2789,2886,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",Energy Engineering,AI,OPEN,Gender-Neutral,1868,2668,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",Energy Engineering,AI,OPEN,Female-only,3645,6315,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",Engineering and Computational Mechanics,AI,OPEN,Gender-Neutral,858,1103,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",Engineering and Computational Mechanics,AI,OPEN,Female-only,3041,3918,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,AI,OPEN,Gender-Neutral,1393,2565,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,AI,OPEN,Female-only,4457,6755,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",Materials Engineering,AI,OPEN,Gender-Neutral,2499,3736,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",Materials Engineering,AI,OPEN,Female-only,7895,9060,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Delhi,IIT Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",Mathematics and Computing,AI,OPEN,Gender-Neutral,157,323,"4 Years, Bachelor of Technology",4,B.Tech,no
